Dataset,County,County_Urban,County_Bioregion,Frequency_General,Frequency_Tuna,Frequency_Shrimp,Frequency_Salmon,Frequency_Flounder,Frequency_BlueCrab,Frequency_Clams,Frequency_Mullet,Frequency_Oysters,Frequency_raw_Tuna,Frequency_raw_Shrimp,Frequency_raw_Salmon ,Frequency_raw_Flounder,Frequency_raw_BlueCrab,Frequency_raw_Clams ,Frequency_raw_Mullet ,Frequency_raw_Oysters ,Where_Tuna,Where_Shrimp,Where_Salmon,Where_Flounder,Where_BlueCrab,Where_Clams,Where_Mullet,Where_Oysters,Form_Tuna,Form_Shrimp,Form_Salmon,Form_Flounder,Form_BlueCrab,Form_Clams,Form_Mullet,Form_Oysters,Preference_Tuna ,Preference_Shrimp,Preference_Salmon,Preference_Flounder,Preference_BlueCrab ,Preference_Clams ,Preference_Mullet ,Preference_Oysters,Qualities_Healthy ,Qualities_Local ,Qualities_Safe ,Qualities_Local_Economies ,Qualities_Tasty ,Qualities_Affordable,Qualities_Local_Culture ,Qualities_Sustainable ,Qualities_Easy_Access ,Qualities_Local_Environments,Qualities_Fresh,Importance_Health,Importance_Local,Importance_Safe,Importance_Local_Economies,Importance_Tasty,Importance_Affordable,Importance_Local_Culture,Importance_Sustainable,Importance_Easy_Access,Importance_Local_Environments,Importance_Fresh,Importance_Wild,Importance_Farmed,WTP_Healthy,WTP_Local,WTP_Safe,WTP_Local_Economies,WTP_Tasty,WTP_Affordable,WTP_Local_Culture,WTP_Sustainable,WTP_Easy_Access,WTP_Local_Environments,WTP_Fresh,WTP_Wild,WTP_Farmed,Covid_Importance_Healthy,Covid_Importance_Local,Covid_Importance_Safe,Covid_Importance_Local_Economies,Covid_Importance_Tasty,Covid_Importance_Affordable,Covid_Importance_Local_Culture,Covid_Importance_Sustainable,Covid_Importance_Easy_Access,Covid_Importance_Local_Envrionments,Covid_Importance_Fresh,Covid_Importance_Wild,Covid_Importance_Farmed,Rank_Coastal_Development,Rank_Heritage,Rank_State_Economy,Rank_Sustainability ,Rank_Small_Business,Rank_Wages,Rank_Trade_Deficit,Rank_Food_Security,Rank_Wild,Rank_Farmed,Local_Seafood,Local_Seafood_Text,Benefit_Local,LocalBenefit1,LocalBenefit2,Rate_Mariculture_Win,Rate_Grow_Oyster_Market,Rate_Regulatory_Balance,Rate_Unfair_Markets,Rate_Company_Rights,Rate_Good_Bad_Years,Rate_Hurt_Oyster_Market,Rate_Heritage_Loss,Rate_Local_Food_Security,Rate_Farms_Improve_Fishing,Rate_Aquaculture_Future,Rate_Residential_Leases,Rate_Overfishing_Occurring ,Rate_Fish_Meant_Harvesting ,Rank_Growth_NC_Seafood_Critical,Rank_Farming_Priority,Rank_Commercial_Fishing_Protection,Rank_Commercial_Fishing_Backbone,Knowledge_Production,Frequency_NC_Coast,Involvement_Commercial,Involvement_Recreational,Eat_Catch,Distance_NC_Coast_original,Zip,Age_original,Age_corrected,Over_Under_40,Gender_original,Gender_Text,Education,Political_Party,Political_Party_Text,Race1,Race2,Race3,Race4,Race_Text,Race_Combined,Income,Duration
1,Mecklenburg,1,3,6,2,4,4,5,2,5,0,0,0,0,0,0,0,0,,,3,3,3,4,3,3,,,3,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,5,5,4,5,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,0,3,3,3,3,3,2,3,3,3,3,3,3,2,,3,,,1,,,,2,,3,,They are fresher and it helps support the state economy,,,5,4,5,3,1,1,2,5,5,3,3,5,3,3,2,1,4,3,1,3,0,3,4,6,28134,3,3,1,1,,6,1,,1,,,,,1,7,1591
1,Durham,1,3,3,2,2,1,2,0,0,0,0,0,0,0,0,,,,,3,4,4,4,,,,,3,5,5,5,,,,,3,2,3,2,,,,,1,3,3,3,1,3,3,1,5,3,1,4,1,5,5,5,5,5,5,5,5,4,1,1,3,2,2,1,2,1,1,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,3,2,,,,,,,3,,Benefits local and state economy.  Helps support locally owned restaurants.  Food tastes better if fresh,,,5,4,2,3,4,5,3,2,4,5,3,1,3,3,1,3,2,4,0,3,0,0,1,6,27704,5,5,2,1,,3,1,,1,,,,,1,5,895
1,Haywood,2,4,3,2,2,2,0,2,2,0,2,3,0,3,,0,0,,2,3,3,3,,3,3,,3,3,2,1,,1,1,,1,2,3,1,,1,3,,1,1,2,1,3,1,3,5,3,3,5,1,4,3,5,3,5,3,3,4,5,3,5,5,2,4,3,4,3,4,2,3,3,2,2,4,4,1,3,3,3,2,3,2,2,2,2,2,3,3,2,,,,2,,,,,1,3,5,,Helping local businesses ,,,5,1,5,3,2,5,4,3,3,4,4,3,5,1,3,4,1,2,1,2,0,3,1,6,28786,3,3,1,1,,5,2,,1,5,,,,8,3,576
1,Lincoln,2,3,2,0,2,2,2,2,2,0,2,,0,2,2,0,0,,0,,4,4,4,4,4,,4,,5,5,5,5,5,,5,,1,1,1,1,4,,4,1,1,1,1,1,1,1,2,2,3,1,5,1,5,5,5,4,4,4,4,4,4,4,4,3,1,4,4,4,3,3,3,4,3,4,3,4,3,2,3,2,2,2,2,3,2,2,3,1,3,2,3,1,,,,,,,,6,,"More affordable
Freshness
Sustainability",,,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,2,3,1,8,0,3,4,2,28092,5,6,2,1,,5,1,,5,,,,,5,3,7982
1,Cumberland,1,2,1,1,4,1,4,4,0,0,0,0,2,0,2,2,,,,3,5,3,5,5,,,,6,1,6,1,1,,,,6,1,6,1,1,,,,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,,1,3,,,,,,6,,have it on hand.,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,1,4,5,3,3,2,5,28303,5,5,2,1,,2,1,,5,,,,,5,4,1040
1,Cumberland,1,2,3,3,3,1,0,0,0,0,0,2,0,2,,,,,,4,4,4,,,,,,6,2,4,,,,,,1,1,1,,,,,,1,1,1,1,1,3,1,3,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,0,0,0,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,,,2,,,1,,3,,I know where it came from,,,4,3,4,4,3,5,3,4,4,3,5,2,3,5,1,2,4,3,1,3,0,0,0,5,28307,2,2,1,2,,5,1,,1,,,,,1,2,551
1,Davidson,2,3,6,2,6,2,0,1,2,0,6,0,0,0,,0,0,,0,3,3,3,,5,4,,4,3,2,2,,1,2,,5,3,3,3,,1,3,,3,1,2,3,2,5,3,5,3,3,1,1,3,1,5,1,5,5,1,1,5,1,5,3,3,0,0,1,0,1,1,0,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,1,2,,3,,1,,Getting to pick what you want before you buy,,,3,4,5,3,3,5,3,5,3,3,3,3,3,5,2,1,3,4,0,1,0,3,3,6,27292,3,3,1,1,,4,5,,3,,,,,3,1,986
1,Rowan,2,3,5,5,3,4,2,0,0,0,3,0,0,0,0,,,,0,3,5,3,4,,,,3,3,1,1,5,,,,1,1,1,1,1,,,,1,1,1,1,1,1,3,1,1,2,1,1,4,4,5,4,5,3,4,5,4,5,5,5,1,3,2,4,2,4,3,2,4,3,3,3,3,0,2,2,2,2,2,2,2,3,2,2,2,2,2,,2,,1,,3,,,,,4,,"Fresher, better tasting, and beneficial to local people.",,,4,5,3,4,1,2,4,5,5,4,3,5,5,1,4,1,2,3,1,1,0,0,3,6,28081,5,6,2,1,,3,2,,1,,,,,1,4,1162
1,Wayne,2,2,4,2,5,3,3,1,1,0,2,2,0,0,0,0,0,,0,3,3,3,3,5,3,,4,1,2,1,1,1,1,,1,2,1,2,1,1,1,,1,1,1,2,2,2,2,2,3,2,2,2,5,4,5,5,5,5,5,5,5,5,5,3,3,3,,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,,,,,2,3,3,,fresher,,,5,5,5,3,1,5,1,5,5,5,4,5,5,5,1,2,4,3,2,3,0,3,1,6,24863,5,6,2,2,,3,1,,1,,,,,1,4,765
1,Wake,1,3,6,4,3,4,3,2,1,0,1,2,1,1,0,0,0,,1,3,3,3,4,4,4,,4,3,2,2,5,5,5,,5,3,3,2,2,2,3,,3,1,2,3,2,1,3,3,3,3,3,1,5,3,5,3,4,3,3,5,1,3,1,1,1,1,0,1,0,1,0,1,3,0,2,3,1,0,3,2,3,3,2,3,2,3,2,2,1,1,1,3,,,1,,,,2,,,3,,"Provides for the local economy, you KNOW where it came from. Most likely it didn't come from somewhere bad ",,,4,4,5,4,3,1,2,4,5,3,4,3,5,1,4,1,3,2,0,3,0,0,0,4,27603,1,1,1,1,,3,2,,1,,,,,1,8,1164
1,Forsyth,1,3,2,6,5,0,0,0,0,0,3,6,5,,,,,,0,3,3,,,,,,3,3,2,,,,,,6,5,3,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,3,3,3,3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,2,2,2,2,2,3,2,2,3,,,1,2,,,,,,3,,Better ,,,3,4,4,5,5,4,4,4,4,4,5,3,4,4,1,2,3,4,1,0,0,0,0,6,27127,7,5,2,1,,2,3,,1,,,,,1,1,797
1,Mecklenburg,1,3,3,1,4,0,0,0,1,0,1,0,0,,,,0,,0,3,4,,,,5,,5,3,2,,,,1,,1,3,3,,,,3,,3,3,3,3,3,2,1,1,5,5,4,3,5,2,5,3,4,5,2,3,5,2,5,1,1,2,0,3,0,1,0,0,0,0,0,2,0,0,3,3,3,1,2,3,1,2,3,1,2,1,1,,,,2,3,,,1,,,1,,What I I would say is that maybe the price rate is a bit cheaper,,,4,2,5,4,3,1,3,4,2,3,3,1,4,4,3,2,1,4,1,1,0,0,0,5,28208,2,2,1,1,,4,2,,2,,,,,2,1,1160
1,Davidson,2,3,4,2,4,2,1,0,0,0,0,0,0,0,0,,,,,3,3,3,3,,,,,2,2,2,2,,,,,1,1,2,2,,,,,2,2,2,3,2,3,3,3,2,3,2,4,3,5,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,,2,3,,,,,,3,,Helps the local business and economy.,,,4,3,4,4,2,4,3,4,4,4,4,3,4,2,1,4,2,3,1,3,0,3,1,6,27292,5,6,2,2,,3,3,,1,,,,,1,2,554
1,Alamance,2,3,2,2,2,2,1,0,0,0,1,0,0,0,0,,,,0,3,3,3,4,,,,4,3,2,3,5,,,,5,3,3,3,3,,,,3,5,3,2,3,4,4,3,3,2,2,2,5,5,5,5,4,5,3,5,3,3,5,4,4,1,2,0,0,2,0,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,2,,,,1,,3,3,,keeps small businesses afloat,,,4,5,4,2,2,4,3,3,4,3,3,5,5,2,2,4,1,3,0,1,0,0,0,6,27215,4,4,2,1,,3,1,,1,,,,,1,1,1529
1,Person,2,3,4,3,2,2,3,0,0,0,2,0,0,0,0,,,,0,3,5,5,3,,,,5,1,1,2,2,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,3,,2,,,,,3,,That it's coming out of the Atlantic ocean in the coast of NC.  Fishing is the lifeline of the people on the coast ,,,4,4,5,5,1,1,5,5,4,3,4,4,4,5,3,1,2,4,0,3,0,0,0,6,27343,5,6,2,1,,2,2,,1,,,,,1,2,2273
1,Mecklenburg,1,3,2,0,2,2,1,1,0,0,0,,0,0,0,0,,,,,4,3,4,4,,,,,5,3,5,5,,,,,1,1,1,1,,,,1,1,1,1,1,3,1,1,4,1,4,4,3,5,4,5,4,4,5,4,4,5,5,1,3,3,3,3,4,3,2,3,3,3,3,4,0,2,3,3,2,2,2,2,2,2,2,3,3,1,3,2,,,,,,,1,,5,,To help the local economy and to ensure that I am not eating anything that came from China.,,,2,4,5,3,2,5,3,4,4,2,4,4,4,1,3,4,1,2,1,3,0,0,0,6,28078,7,5,2,1,,3,1,,1,,,,,1,5,769
1,Forsyth,1,3,3,3,3,3,5,3,3,4,0,5,3,0,0,0,0,0,,3,2,3,3,3,3,3,,3,2,2,2,2,2,2,,3,3,3,3,3,3,3,,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,1,,,,,3,,"Fresher
",,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,4,2,0,0,0,1,6,27101,7,5,2,2,,3,4,,8,,,,,10,1,579
1,Cleveland,2,3,2,1,1,0,0,0,0,1,0,1,0,,,,,0,,3,3,,,,,8,,6,6,,,,,6,,6,6,,,,,6,,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,3,,,1,,2,3,,It's fresh,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2,2,0,0,3,0,7,28090,1,1,1,1,,1,3,,1,,,,,1,1,3023
1,Forsyth,1,3,5,4,3,4,2,0,0,0,0,0,0,0,0,,,,,3,3,3,4,,,,,3,2,1,5,,,,,3,3,3,3,,,,,2,1,4,2,2,5,2,3,5,2,2,4,3,5,3,4,5,3,4,4,4,4,1,1,2,1,2,1,1,0,1,2,1,1,1,0,0,2,3,3,3,2,2,2,2,3,2,2,2,2,,,,1,,3,,2,,,3,,"1. Less fuel used to get it to market
2. Fresher - less travel time 
3. Supports local economy/jobs
4. Helps state budget",,,4,2,4,5,1,2,4,3,5,4,4,5,3,1,2,1,3,4,1,1,0,0,0,6,27052,5,6,2,1,,5,3,,1,,,,,1,2,1254
1,Anson,2,3,2,4,2,3,2,0,2,0,0,0,0,0,0,,0,,,3,6,3,3,,4,,,1,,1,1,,5,,,1,1,1,1,,1,,,1,5,1,5,1,3,5,5,3,1,1,5,1,5,3,5,5,2,5,5,3,5,5,2,1,0,1,1,1,0,0,0,1,1,1,1,0,2,1,3,3,3,3,2,2,3,2,3,3,2,,,,,2,3,,,1,,3,,Good for states economy ,,,3,3,4,4,2,2,3,4,4,3,3,3,4,3,1,3,2,4,1,3,0,0,0,5,28119,5,6,2,1,,4,5,,1,,,,,1,2,1038
1,Henderson,2,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,1,1,5,3,5,5,1,1,1,5,1,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,,,1,2,,,,,3,,I don't  buy seafood ,,,3,3,2,2,3,3,3,5,4,3,3,4,4,2,2,4,1,3,0,0,0,0,0,6,28731,5,6,2,1,,4,1,,1,,,,,1,2,571
1,New Hanover,1,1,2,3,2,0,1,0,0,0,1,0,0,,0,,,,0,3,5,,5,,,,5,3,1,,1,,,,1,3,1,,1,,,,1,1,2,5,5,1,1,5,5,1,5,1,4,3,5,1,4,4,1,1,3,1,5,5,5,2,3,3,2,4,2,3,1,2,1,4,2,2,3,2,3,2,3,1,2,2,2,2,3,3,3,2,,,,1,3,,,,,1,,Enjoying to taste our oceans eats,,,2,4,3,5,2,4,3,5,4,4,3,4,4,5,1,4,3,2,3,6,3,3,4,2,28411,3,3,1,1,,2,1,,1,,,,,1,3,547
1,Cabarrus,1,3,2,2,2,0,1,0,0,0,0,0,0,,0,,,,,3,3,,3,,,,,3,2,,1,,,,,1,1,,3,,,,,1,2,1,2,1,3,4,1,3,2,2,5,4,4,4,5,5,3,4,3,3,5,5,2,1,1,1,0,2,1,1,1,1,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,,3,,,,2,,3,,Giving the money to local business,,,2,3,5,4,2,5,3,5,5,3,3,5,5,5,1,2,4,3,1,2,0,0,0,6,28025,6,7,2,1,,2,2,,1,,,,,1,4,1087
1,Pitt,2,2,3,2,0,3,0,0,0,0,0,0,,0,,,,,,3,,3,,,,,,1,,2,,,,,,3,,3,,,,,,4,4,4,2,4,4,3,4,4,4,2,1,2,3,3,4,4,2,2,3,3,4,1,1,2,2,1,2,0,0,1,1,0,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,3,,,,,,3,,helps the econemy,,,3,3,4,5,5,3,2,4,4,4,3,5,5,4,1,3,4,2,0,2,0,0,0,5,27889,6,7,2,2,,6,3,,1,,,,,1,4,790
1,Rowan,2,3,4,0,4,0,4,2,0,0,0,,0,,0,0,,,,,4,,4,4,,,,,5,,5,5,,,,,3,,3,3,,,,3,3,3,3,3,2,3,3,1,3,3,2,1,5,2,5,5,2,2,5,2,5,1,1,0,0,2,0,2,1,0,0,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,,2,,,1,,,3,,Helping small businesses ,,,4,2,4,4,3,2,3,4,4,3,3,3,4,3,2,3,4,1,0,1,0,3,1,6,28081,3,3,1,1,,1,2,,1,,,,,1,2,649
1,,,,4,2,4,4,3,1,1,0,0,4,4,0,0,0,0,,,3,3,3,3,3,3,,,5,1,3,2,5,6,,,3,1,3,1,1,1,,,1,1,5,2,1,5,3,5,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,3,3,2,3,3,3,3,3,2,2,2,,1,,,3,2,,,,,3,,I think it helps the local community and also it will be fresh,,,5,4,5,5,4,3,3,2,4,4,4,5,4,3,1,2,3,4,0,5,0,0,4,6,27574,4,5,2,1,,3,1,,1,,,,,1,2,828
1,Durham,1,3,6,4,6,5,4,3,2,2,1,1,1,1,1,1,1,1,1,3,3,3,4,3,4,3,4,3,2,3,1,2,2,2,5,2,2,2,3,3,3,3,2,2,4,2,4,2,2,2,5,2,2,2,3,3,5,2,4,3,3,4,4,4,4,3,3,2,1,2,0,2,2,2,0,1,1,3,1,1,3,1,3,3,2,3,2,2,2,2,3,2,2,,2,1,,,3,,,,,5,,I don't think there are apparent benefits of buying local seafood.,,,4,4,5,5,3,4,4,4,3,3,4,2,4,4,1,4,3,2,1,1,0,0,0,6,27703,2,2,1,2,,5,3,,5,,,,,5,1,643
1,Wayne,2,2,2,3,3,3,0,0,0,0,0,2,2,2,,,,,,4,3,3,,,,,,3,2,2,,,,,,3,3,3,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,3,,1,,,,,3,,fresh ,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,4,0,1,0,0,0,6,27530,4,5,2,1,,4,2,,3,,,,,3,3,746
1,Mecklenburg,1,3,2,0,2,0,0,1,2,0,0,,0,,,0,0,,,,4,,,4,4,,,,5,,,5,5,,,,3,,,3,3,,,2,2,2,2,2,2,2,2,2,2,2,5,3,5,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,2,3,2,2,2,2,3,2,2,,,3,,,,2,,,1,3,,Fresher,,,3,4,4,3,4,3,3,3,3,2,2,2,3,4,1,4,2,3,2,7,0,0,0,6,28105,2,2,1,1,,3,3,,1,,,,,1,4,371
1,Nash,2,2,4,0,4,0,0,0,0,0,0,,0,,,,,,,,5,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,,,2,,,,,,5,,Local economic impacts and products are fresher,,,3,4,4,3,3,1,4,3,4,3,2,4,4,2,2,4,3,1,0,3,0,0,0,6,27856,5,6,2,1,,6,3,,1,,,,,1,5,514
1,Nash,2,2,4,1,4,0,4,0,0,0,4,0,0,,0,,,,0,3,6,,4,,,,4,3,1,,5,,,,5,3,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,,1,,2,,,,6,,"fres and wild caught 
taste better and helps local fishermen",,,4,5,5,4,4,2,4,4,4,4,3,5,4,3,1,4,3,2,1,5,0,0,4,6,27804,6,7,2,2,,4,1,,1,,,,,1,4,1269
1,Wilson,2,2,2,0,2,2,2,0,0,0,0,,2,2,2,,,,,,3,3,3,,,,,,2,2,1,,,,,,2,2,3,,,,,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,1,,,,,,2,3,,freshness,,,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,1,3,4,1,2,0,2,0,6,27896,4,5,2,1,,6,1,,1,,,,,1,6,407
1,Pitt,2,2,4,4,5,0,2,2,0,3,0,0,0,,0,0,,0,,3,3,,3,4,,3,,3,1,,1,1,,1,,1,2,,4,2,,2,,2,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,3,2,,,,,,5,,It helps the fisherman and our economy,,,2,1,2,4,4,1,2,5,4,4,1,4,5,5,4,1,2,3,4,2,0,0,4,6,27828,4,5,2,1,,4,2,,3,,,,,3,1,544
1,Pitt,2,2,2,2,2,2,2,0,0,0,1,,,,,,,,,3,4,4,5,,,,4,3,5,5,1,,,,5,3,3,3,1,,,,3,2,2,2,2,2,2,2,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,2,2,3,2,2,,3,,2,,1,,,,,3,,It helps the people that are making it available for our local cities and their counties.,,,4,1,3,5,3,5,3,3,3,5,3,5,3,3,3,4,2,1,1,1,0,3,1,4,27834,5,6,2,1,,4,2,,3,,,,,3,2,1166
1,Wake,1,3,4,0,4,0,0,0,2,0,0,,0,,,,0,,,,3,,,,4,,,,2,,,,1,,,,3,,,,3,,,2,3,1,2,2,3,1,2,2,1,2,5,5,5,5,5,5,4,5,5,5,5,4,3,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,,,,1,2,,,3,,,3,,Keeping jobs for fisherman and fresh always tastes better.,,,4,3,4,4,2,2,3,4,3,3,3,5,4,4,1,2,4,3,1,3,0,3,0,6,27502,5,6,2,1,,5,3,,1,,,,,1,5,825
1,Alamance,2,3,2,2,0,0,2,0,0,0,0,2,,,0,,,,,3,,,3,,,,,3,,,2,,,,,3,,,3,,,,,2,5,2,1,2,1,1,5,5,5,1,4,1,5,4,5,5,4,4,4,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,,1,,,3,,,3,,Is fresher and tastes better.,,,3,3,4,3,2,4,3,3,4,3,3,5,3,3,3,4,1,2,0,2,0,0,0,6,27253,5,6,2,1,,6,1,,1,,,,,1,5,913
1,Cabarrus,1,3,2,1,2,2,2,1,0,0,0,2,2,2,0,0,,,,4,4,4,4,4,,,,5,5,5,5,5,,,,3,3,3,3,3,,,,2,2,2,3,2,2,2,2,2,2,2,4,2,5,3,5,5,3,3,3,4,5,1,1,3,1,4,1,2,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,2,,,,3,,,3,,Helps our economy ,,,3,3,4,4,2,3,3,3,4,3,3,4,5,1,2,1,3,4,0,8,0,0,0,6,28027,4,4,2,1,,6,2,,1,,,,,1,4,1010
1,Mecklenburg,1,3,5,4,4,2,3,0,3,0,0,1,,0,0,,0,,,4,4,4,4,,4,,,1,1,1,1,,1,,,5,5,5,5,,5,,,3,3,3,3,3,3,3,5,3,3,2,4,4,4,4,5,4,3,4,5,3,5,3,4,4,4,4,3,4,3,3,2,3,2,4,2,4,2,3,3,2,3,3,2,2,3,2,3,2,3,,,,,1,,,2,,3,6,,It is fresh ,,,3,3,5,4,1,3,1,5,5,3,3,5,5,5,2,3,1,4,1,0,0,0,0,6,28227,4,4,2,1,,3,1,,1,,,,,1,2,912
1,,,,4,3,1,2,3,0,0,1,0,0,0,0,0,,,0,,3,4,3,3,,,3,,3,5,2,2,,,2,,2,2,2,1,,,3,,1,1,2,1,1,5,1,1,3,1,1,4,2,5,2,5,4,2,4,5,2,4,3,2,1,1,2,1,1,0,1,0,1,0,1,1,0,2,2,3,2,2,3,2,2,2,2,2,2,2,,,,,,3,,2,1,,3,,"Tastes better, helps local economy",,,5,1,4,4,2,4,4,4,3,3,3,4,5,5,1,4,3,2,1,2,0,0,0,6,27597,4,4,2,1,,5,1,,1,,,,,1,4,422
1,Stokes,2,3,2,0,2,0,0,0,0,0,0,,0,,,,,,,,4,,,,,,,,5,,,,,,,,3,,,,,,,1,3,5,5,5,5,5,5,3,5,5,2,1,5,1,5,1,1,1,1,1,5,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,3,,1,,,3,,"i don't see any benefits from buying local seafood, other than putting profit into locals pocket.",,,3,1,3,3,3,3,3,3,3,3,3,3,4,3,1,2,4,3,0,8,0,0,0,5,,3,3,1,2,,5,2,,1,,,,,1,7,379
1,Carteret,2,1,5,2,2,4,0,0,0,0,1,2,0,2,,,,,1,4,4,3,,,,,4,5,5,2,,,,,5,6,6,1,,,,,6,1,4,1,2,2,3,1,2,5,1,2,5,3,5,3,5,5,3,4,3,3,5,4,1,1,1,1,0,1,0,0,0,0,0,1,1,0,2,2,2,3,2,2,2,2,3,2,2,2,2,,3,,1,,2,,,,,3,,na,,,2,2,2,4,2,1,3,4,4,3,2,4,4,2,1,2,3,4,1,8,0,0,0,1,,3,3,1,1,,6,2,,1,,,,,1,2,13199
1,Onslow,2,1,4,2,4,3,3,4,2,1,0,0,0,0,0,0,0,0,,4,7,4,1,1,7,8,,5,1,5,1,1,1,6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,3,1,2,2,2,1,2,2,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,1,3,2,,2,,"I always and often buy local seafood.  I support our local economy, I feel it is fresh, it is wild caught, we love it.",,,3,2,4,4,4,3,4,4,3,3,3,4,4,2,2,4,3,1,2,8,0,3,1,0,28460,6,7,2,1,,5,1,,1,,,,,1,6,1415
1,Forsyth,1,3,2,0,0,1,2,0,0,0,0,,,0,0,,,,,,,4,4,,,,,,,5,5,,,,,,,3,3,,,,,2,1,2,1,2,3,2,2,3,1,1,4,1,5,3,5,4,3,3,4,3,4,2,2,1,0,2,0,2,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,,,3,,,2,,,4,,fresher,,,5,3,4,4,2,4,4,5,3,3,4,5,3,4,2,4,3,1,0,0,0,0,0,6,27045,6,7,2,2,,6,1,,1,,,,,1,4,582
